tweet_id,Tweet,image_link,label (1~5),label (0/1/2)
1,"If you are suffering from anxiety & depression, read this:",https://pbs.twimg.com/media/FgyxtAbVIAArGmI?format=jpg&name=900x900,2,0
2,“i’m fine just a little tired”,,1.5,0
3,My last relationship still gives me trauma . I must admit it drove me into depression but slowly overcame . Dating today feels like an eternal emotional tug of war where you genuinely love people you don’t even have in the first place nor even love you back .,,2,0
4,"I just fangirled so hard when I found Rick Worthy was here. First time meeting him. He’s so nice. If you get the chance, you should definitely meet him.",https://pbs.twimg.com/media/FgwnZ4GX0AANTFO?format=jpg&name=large ,4,2
5,"The many many incidents at migrant centres, Of rape, violence and the use of weapons - is exactly why the British people are Calling for protection of our borders, the left think we are dumb, but we see it. They’re showing why people are right to be weary of the rise in crossings",,2,0
6,"You see, you can have whatever you want in your life, no limits. But there's one catch: You have to feel good.⁠",https://pbs.twimg.com/media/Fgmm4cOUoAAt4VE?format=jpg&name=large ,5,2
7,"The first 26 years of my life were a struggle, 3 times school dropout,7 student visa refusals,and numerous breakfasts in job applications.The next 10 had so much growth, I couldn't believe it.I nearly gave up,I went through moments of depression but i kept trying again,and again.",https://pbs.twimg.com/media/Fgmm4cOUoAAt4VE?format=jpg&name=large ,4,2
8,"What is happening in Hebron is simply shocking. Dozens of dogs are being brutally abused and mistreated, and why? Because the mayor of Hebron offered 20 shekels for every dog ​​killed. This is a culture of murderous violence towards helpless animals.",https://pbs.twimg.com/media/Fgy3DcWXEAEXTP8?format=jpg&name=small ,1,0
9,"COMPLETELY COOKED. STREAM TOMORROW INSTEAD. SORRY, THINGS GOT OUT OF HAND AGAIN. THIS IS WHY I STAY INSIDE OUT OF THE HOUSE MAN. GN. ALSO, FUN STREAM TONIGHT, STOP GETTING MAD AT EVERYTHING AND ENJOY SOMETHING",,2,0
10,"2022 is about to end, why are you still single?",,3,1
11,"Our cook asked me why I never request for beans and i said i do not like it. She asked me if I’ve ever tried Ewa Agoyin and i said no. Long story short, i had the best breakfast ever!",https://pbs.twimg.com/media/Fgy225LXkAEZPYr?format=jpg&name=medium ,5,2
12,"Silvia Pavlova. I can see why her paintings are so in demand, this is beautiful. The vibrant colours shout at you to have a look. The blues and orange I particularly like",https://pbs.twimg.com/media/Fgy225LXkAEZPYr?format=jpg&name=medium ,4,2
13,"Last nights amazing benefit for the #StatenIsland victims of #hurricanesandy thank you to everyone who came out and donated and to @miamoretti and @djskribble for major sets. We raised almost $50k for the Bini fund! #thankyou #helpsi #yachtparty #westvillage #nyc #givingback #dance #appreciate""",https://drive.google.com/file/d/1CN00roOqSq1WxSvDHdkno1HoPiBfp_lR/view?usp=share_link ,5,2
14,Do we really need AKB48 on a poster for the Tokyo gubernatorial election? ,https://drive.google.com/file/d/1MHWskYeafNnyJ2LJ52yX_x7g6HOJk2pe/view?usp=share_link ,3,1
15,This all washed up in the backyard #hurricanesandy,https://drive.google.com/file/d/1iMUV0OSL0LQ49Am4nmqQLhIba02uTNTx/view?usp=share_link ,2,0
16,I bought a lot on #BlackFriday but this is definitely high on my list of #WINNING!!,https://drive.google.com/file/d/12D3_VBeKwLLq1_CxxLBpheBjPn8gwK_K/view?usp=share_link ,4,2
17,Beautiful Windy Warm December 2nd. #globalwarming :),https://drive.google.com/file/d/1RKyhJalqM8c2XeJ5uVf-YGy-Mhj-qEEs/view?usp=share_link ,3,1
18,"The Police man who captured my heart ;)) #instalove"" ",https://drive.google.com/file/d/1vjKMvanWwPD7DPDTOKmxbGhkKbmF-PAb/view?usp=share_link ,3,1
19,Sandy checking out the 28th Terra Nova Scout Group meeting,https://drive.google.com/file/d/1eX_-ePUEQnaTZ3d681C1pLuyzy3KXJxN/view?usp=share_link ,4,2
20,Now this is what pizza should look like #pizza #food #foodporn #goodness #vodka #grandma #angelinas #newyorkpizza,https://drive.google.com/file/d/1ZL94a6xAHGoqUkwD7kJ_DIv5EXlj6hD8/view?usp=share_link ,4,2
21,The key to rocking it this early in the morning is staying up all night! ;) #yolo #globalwarming,https://drive.google.com/file/d/1y7Ke3gxMR48raF_toxvGsLdC2PTSZRlD/view?usp=share_link ,4,2
22,"While shooting my new webisodes, we just got stopped by undercover police.... Do we look suspicious to you?! ",https://drive.google.com/file/d/1dV8fOL0IteJuBObsIYg_0RvF2H-YVpOm/view?usp=share_link ,2,0
23,I can watch this part over and over again #CountryStrong #Travis #cutie #cancer #favorite,https://drive.google.com/file/d/1_33kIjGSxFbSBKTAEy8fULqklEmf_E0A/view?usp=share_link ,4,2
24,"Ok, so the #Barberton #police pulled this old lady over in the parking lot of #KMart . Then a police #SUV &amp; another crusier comes &amp; blocks her in like she has #drugs or #guns! Then, they ler her go without a #ticket. #taxdollarsatwork",https://drive.google.com/file/d/1BC2zt3KrWnPE6xRClm8gFnNjXkQa-Hdu/view?usp=share_link ,3,1
25,"Over 144 million people long-term sick. Increases in stillbirths, preterm birth, and postpartum haemorrhage. Young people in numbers not seen before presenting to cardiologists. The experts are screaming at the top of their lungs.",https://pbs.twimg.com/media/Fg6ovrQXEAECVIO?format=jpg&name=900x900 ,2,0
26,Please check your kid's candy this Halloween! Just found Broncos tickets in my kid's bag. Some sick people out there.,https://pbs.twimg.com/media/FgcXrjYXgAEttfe?format=jpg&name=900x900 ,4,2
27,Live footage of how much space I get in the bed when kids hear thunder.,https://pbs.twimg.com/media/Fg9fWECXwAEiyrm?format=jpg&name=900x900 ,3,1
28,"Found this creature gnawing on my foundations, can anyone help me identify it?",https://pbs.twimg.com/media/Fg42h3GVsAI4XUV?format=jpg&name=900x900 ,3,1
29,First paper draft of this beast is out to the top homie that orange pilled me. May his red pen help make it better. Enlarging the #Bitcoin tent.,https://pbs.twimg.com/media/Fg9g-t-UAAAzUCg?format=jpg&name=900x900 ,3,1
30,me??? tired??? stressed??? exhausted??? i wanna cry??? yes,,1,0
31,Sleeping is nice until you wake up and realize you're still sad.,,2,0
32,"Scholarship for LAW STUDENTS in the USA The following scholarships are available for outstanding law graduates who wish to obtain LL.M at UC Berkley, USA. There are options for LL.M Thesis Track and LL.M Executive Track. Tag qualified candidates The link in the comment",https://pbs.twimg.com/media/FgaeqKWXgAM6zQh?format=png&name=small ,3,1
33,Good Morning Have a powerful Monday,https://pbs.twimg.com/media/Fg8GAKOWIAEQZRt?format=jpg&name=large ,4,2
34,"A study of Ekrixinatosaurus novasi, to break from current commission work and because abelisaurs are awesome and underrepresented",https://pbs.twimg.com/media/Fg9-ZYKWYAAuyhJ?format=jpg&name=900x900 ,4,2
35,"The sad thing is, nobody ever really knows how much anyone else is hurting. We could be standing next to somebody who is completely broken and we wouldn't even know it. Only Allāh knows! May Allāh make easy for people who going through hard times and problem ",,3,1
36,i am so sad rn,https://pbs.twimg.com/media/Fg7-kweVEAMPflq?format=jpg&name=large ,4,2
37,I would have caught you... I feel so depressed.,https://pbs.twimg.com/media/FgkbCCTXoAY6TMV?format=png&name=small ,2,0
38,Don't be sad.,https://pbs.twimg.com/media/Fg8H6cFUYAIQhv8?format=png&name=small ,2,0
39,Me already depressed at work and seeing her running thru the building with the gun,https://pbs.twimg.com/media/FgvR9hWXgAES4fj?format=jpg&name=small ,2,0
40,It’s sad but true,https://pbs.twimg.com/media/Fg9vKmyVsAIBfxl?format=jpg&name=medium ,3.5,1
41,"""What? Over? Did you say over? Nothing is over until we decide it is! Was it over when the Germans bombed Pearl Harbor? Hell, no!""",https://pbs.twimg.com/media/Fg9-PfrWIAADj7V?format=jpg&name=medium ,3,1
42,Another morning to speak my thruth on this app and trigger a lot of ppl,,2.5,1
43,Off white pants/skirts is something every girl should have in their wardrobe as they literally go with everything. ,,4,2
44,I’m sorry but that monologue given by Stellan Skarsgard in #Andor episode 10 was just absolutely astounding. THAT should be shown in acting classes from here on out and my goodness is this show SO DAMN GOOD!,,4.5,2
45,I couldn’t risk being latefor work today to go hunt. I’m glad I didn’t take that chance. The fog is terrible here…,,3,1
46,When you get home from work late at night but you got this waiting for you,,2.5,1